Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Days,marital_status,education
54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,False,False,False,False,False,False,False,53,2318,t,g
42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,False,False,False,False,False,False,False,48,2257,s,m
23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,False,False,False,False,False,False,False,50,2195,m,p
30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,False,False,False,False,False,False,False,37,2197,m,g
47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,False,True,False,False,False,False,False,60,2743,w,g
51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,False,False,False,False,False,False,False,48,2603,d,g
78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,False,False,False,True,False,False,False,69,2369,m,2
50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,False,False,False,False,False,False,False,37,2533,m,p
47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,False,False,False,False,False,False,False,60,2500,s,2
34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,False,False,False,False,False,False,False,61,2250,s,p
85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,False,False,False,False,False,False,False,41,2594,t,g
65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,False,False,False,False,False,False,False,75,2567,m,p
87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,False,False,False,False,False,False,True,61,2211,m,g
24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,False,False,False,False,False,False,False,41,2360,t,b
49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,False,False,False,False,False,False,False,56,2437,m,g
52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,False,False,False,False,False,False,False,51,2671,m,g
38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,False,False,False,False,False,False,False,42,2716,s,g
89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,False,False,False,False,False,False,False,60,2728,m,m
77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,False,False,False,False,False,False,False,41,2398,t,g
68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,False,True,False,False,False,False,True,29,2755,s,p
57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,False,True,False,False,False,False,False,57,2163,t,m
86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,False,True,True,False,False,False,True,29,2702,s,g
43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,False,False,False,False,False,False,False,40,2723,m,p
50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,False,False,False,False,False,False,False,58,2451,s,g
90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,False,False,True,True,False,False,False,50,2315,m,g
36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,False,False,False,False,False,False,False,42,2654,m,2
30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,False,False,False,False,False,False,False,53,2512,t,2
21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,False,False,False,False,False,False,False,51,2386,t,g
56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,False,False,False,False,False,False,False,67,2533,t,m
32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,False,False,False,False,False,False,True,53,2284,s,m
19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,False,False,False,False,False,False,False,35,2457,m,m
30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,False,False,False,False,False,False,False,44,2592,d,g
101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,False,True,True,True,False,False,True,37,2633,s,g
71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,False,False,False,False,False,False,False,55,2655,t,2
79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,False,False,False,False,False,False,True,36,2593,s,g
54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,False,False,False,False,False,False,False,67,2180,m,m
77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,False,False,False,False,False,False,False,64,2209,t,p
62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,False,False,False,False,False,False,False,68,2431,m,g
61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,False,False,False,False,False,False,False,62,2635,s,m
73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,False,False,False,False,False,False,False,51,2298,m,g
41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,False,False,False,False,False,False,False,56,2478,m,p
62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,False,True,False,False,False,False,False,53,2628,t,p
9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,False,False,False,False,False,False,False,44,2849,d,b
33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,False,False,False,False,False,False,False,61,2516,m,p
35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,True,False,False,False,False,False,True,47,2200,s,p
36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,False,False,False,False,False,False,False,55,2495,d,p
92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,False,False,False,False,False,False,False,28,2777,s,m
65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,False,False,False,False,False,False,True,44,2386,t,m
86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,False,False,False,False,False,False,False,58,2595,m,g
68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,False,False,False,False,False,False,False,46,2464,s,p
41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,False,False,False,False,False,False,False,32,2626,t,g
59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,False,False,False,False,False,False,False,44,2778,m,g
23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,False,False,False,False,False,False,True,45,2768,m,g
38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,False,False,False,False,False,True,False,39,2464,t,g
35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,False,False,False,False,False,False,False,47,2835,m,2
49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,False,False,False,False,False,False,False,54,2167,m,m
59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,False,False,False,False,False,False,False,67,2225,m,m
65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,False,True,False,False,False,False,False,51,2273,m,g
46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,False,False,False,False,False,False,False,48,2721,t,2
34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,False,False,False,False,False,False,False,32,2207,s,g
61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,False,False,False,False,False,False,False,68,2787,t,p
69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,False,True,True,False,False,False,True,71,2654,t,g
49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,False,False,False,False,False,False,False,62,2515,s,g
60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,False,False,False,False,False,False,False,42,2449,s,g
55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,False,False,False,False,False,False,False,43,2414,t,g
80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,False,False,False,False,False,False,False,65,2472,s,g
30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,False,False,False,False,False,False,False,62,2522,s,m
70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,False,False,False,False,False,False,False,75,2760,m,p
23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,False,False,False,False,False,False,False,36,2334,m,g
74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,False,False,False,False,False,False,False,45,2583,d,p
43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,False,False,False,False,False,False,False,54,2387,t,g
62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,True,False,False,False,False,False,False,67,2382,d,g
52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,False,True,False,False,False,False,False,61,2464,d,g
66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,False,False,False,False,False,False,False,32,2398,s,g
26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,False,False,False,False,False,False,False,63,2283,t,g
33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,False,False,False,False,False,False,False,55,2228,t,g
28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,False,False,False,False,False,False,False,38,2510,m,g
50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,False,False,False,False,False,False,False,50,2228,m,g
53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,False,False,False,False,False,False,False,61,2309,t,p
52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,True,False,False,False,False,False,False,53,2245,s,g
80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,False,False,False,False,False,False,False,45,2814,m,p
83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,False,True,False,True,False,False,True,72,2719,m,p
38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,False,False,False,False,False,False,False,50,2196,m,p
38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,False,False,False,False,False,False,False,61,2164,t,g
51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,False,False,False,False,False,False,False,44,2208,m,p
16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,False,False,False,False,False,False,False,32,2209,m,2
66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,False,False,False,False,False,False,False,74,2433,m,m
30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,False,False,False,False,False,False,False,36,2317,m,m
28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,False,False,False,False,False,False,False,59,2173,m,b
25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,False,False,False,False,False,False,False,37,2730,m,g
32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,False,False,False,False,False,False,False,50,2272,s,p
61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,False,False,False,False,False,False,False,54,2490,m,g
74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,False,False,False,False,False,False,False,44,2626,m,g
45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,False,False,False,False,False,False,False,56,2650,m,p
24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,True,False,False,False,False,False,False,42,2817,t,b
66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,False,False,False,False,False,False,False,31,2567,t,p
38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,False,False,False,False,False,False,False,32,2554,m,g
51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,False,False,False,False,False,False,False,47,2655,m,g
31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,False,False,False,False,False,False,False,43,2341,m,g
69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,False,False,False,False,False,False,False,40,2206,m,m
80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,False,False,True,False,False,False,False,66,2442,m,g
86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,False,False,False,False,False,False,False,66,2687,m,g
46854.0,1,1,81,96,1,79,7,1,79,6,5,1,3,8,True,False,False,False,False,False,True,47,2249,s,p
69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,False,True,False,False,False,False,False,68,2159,d,g
75922.0,0,0,60,265,138,553,224,23,92,1,4,4,9,1,False,False,False,False,False,False,False,52,2361,s,g
63693.0,0,1,63,587,43,337,42,87,54,3,11,6,9,6,False,False,False,False,False,False,False,42,2417,d,g
102160.0,0,0,54,763,29,138,76,176,58,0,7,9,10,4,False,True,True,True,False,False,True,43,2763,t,p
40637.0,1,1,72,22,0,13,0,0,3,2,1,0,3,7,False,False,False,False,False,False,False,55,2506,s,p
18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,True,False,False,False,False,False,True,36,2755,s,m
29604.0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,True,False,False,False,False,False,False,32,2362,t,g
48721.0,1,1,50,81,18,113,47,13,21,6,4,2,5,6,False,False,False,False,False,False,False,57,2571,d,m
44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,False,False,False,False,False,False,False,54,2180,m,g
64497.0,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,True,False,False,False,False,False,True,66,2816,d,g
46097.0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,False,False,False,False,False,False,False,64,2614,t,g
77972.0,0,0,18,613,22,319,33,102,12,1,4,6,9,1,False,False,False,False,False,False,False,66,2262,t,g
44377.0,1,1,70,224,0,30,0,0,10,8,5,1,5,8,False,False,False,False,False,False,False,52,2791,m,p
46014.0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,False,False,False,False,False,False,False,46,2683,t,m
70951.0,0,0,66,239,10,554,254,87,54,1,3,4,9,1,False,False,False,False,False,False,False,35,2580,m,g
41443.0,1,0,79,171,7,171,25,19,89,6,8,1,5,8,False,False,False,False,False,False,False,43,2248,m,g
52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,False,False,False,False,False,False,False,42,2207,s,2
83790.0,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,False,True,True,False,False,False,False,72,2385,m,m
44551.0,0,1,24,182,4,33,0,0,66,2,4,1,5,7,False,False,False,False,False,False,False,66,2461,w,m
69508.0,1,0,48,824,32,162,42,32,43,2,11,4,11,6,False,False,False,False,False,False,False,40,2751,t,g
45204.0,1,0,93,30,11,25,29,1,18,1,1,1,4,3,False,False,False,False,False,False,False,32,2238,t,2
72460.0,0,0,56,377,10,540,80,30,10,1,3,5,7,1,False,False,False,False,False,False,False,51,2386,m,g
77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,False,False,False,False,False,False,False,50,2235,t,p
30732.0,1,0,44,155,1,25,0,1,3,4,4,1,4,8,False,False,False,False,False,False,False,40,2699,m,p
63887.0,0,1,38,897,23,207,15,11,92,5,9,6,12,6,False,False,False,False,False,False,False,58,2818,d,g
42011.0,1,0,46,131,0,16,2,1,39,4,3,1,4,8,False,False,False,False,False,False,False,42,2619,t,g
51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,False,False,False,False,False,False,False,44,2771,t,g
51537.0,0,1,27,787,20,204,0,0,92,3,2,2,11,8,False,False,False,False,False,False,False,68,2726,d,g
79930.0,0,0,72,792,86,740,67,51,17,1,3,5,8,2,False,False,False,False,False,False,False,48,2849,m,p
34320.0,1,0,66,4,1,9,3,0,0,1,1,0,2,8,False,False,False,False,False,False,False,34,2292,t,p
37070.0,1,1,30,231,7,137,4,15,39,9,5,1,8,7,False,False,False,False,False,False,True,54,2625,s,g
81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,False,False,True,False,False,False,False,58,2699,d,2
38590.0,1,0,65,3,1,8,4,3,3,1,1,0,2,8,False,False,False,False,False,False,False,49,2569,t,g
15033.0,0,0,37,0,4,5,6,0,4,1,1,0,3,3,False,False,False,False,False,False,False,69,2233,s,g
62745.0,0,1,89,562,21,464,28,10,32,3,7,8,11,5,False,False,False,False,False,False,False,55,2622,m,p
22212.0,1,0,49,5,9,20,6,8,21,2,2,0,4,6,False,False,False,False,False,False,False,45,2361,m,2
23661.0,1,0,46,18,0,4,0,0,1,1,1,0,3,7,False,False,False,False,False,False,False,38,2366,t,m
79761.0,0,1,32,415,5,124,15,35,11,1,5,2,11,3,False,False,False,False,False,False,False,62,2427,s,p
7500.0,1,0,54,5,3,10,12,7,20,4,3,1,3,7,False,False,False,False,False,False,False,47,2344,s,g
73455.0,0,0,98,901,61,757,186,163,20,1,6,5,10,3,False,True,False,False,False,False,False,52,2403,w,g
64961.0,0,1,97,382,114,276,75,124,38,2,6,4,4,3,False,False,False,False,False,False,False,62,2712,t,g
22804.0,1,0,75,14,1,7,2,1,1,1,2,0,2,9,False,False,False,False,False,False,False,49,2492,s,g
73687.0,0,0,8,559,153,503,218,13,181,1,3,9,9,2,False,False,False,True,False,False,True,30,2372,m,g
61074.0,0,1,37,789,0,133,0,28,152,7,11,5,8,7,False,False,False,False,False,False,False,62,2840,m,g
31686.0,1,1,31,11,0,5,0,0,1,2,1,0,3,6,False,False,False,False,False,False,False,56,2183,m,p
80134.0,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,False,True,True,True,False,False,True,48,2564,m,g
75027.0,0,1,74,925,64,179,133,12,77,2,9,4,6,5,False,False,False,False,False,False,False,67,2695,m,g
67546.0,0,0,90,864,134,768,150,38,172,1,4,10,5,3,False,False,False,False,False,False,False,32,2826,m,p
65176.0,0,1,57,960,28,183,220,70,70,4,9,6,6,6,False,False,False,False,False,False,False,51,2767,t,m
31160.0,1,0,59,16,3,25,6,1,13,2,2,0,3,8,False,False,False,False,False,False,False,45,2445,s,m
29938.0,1,0,52,3,3,7,0,2,11,2,1,0,3,6,False,False,False,False,False,False,False,35,2404,s,g
102692.0,0,0,5,168,148,444,32,172,148,1,6,9,13,2,False,True,True,True,True,False,True,46,2609,d,g
26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,False,False,False,False,False,False,False,62,2804,t,2
75702.0,1,1,77,650,28,353,45,42,30,5,4,6,11,8,False,False,False,False,False,False,False,53,2828,t,g
30899.0,1,0,35,24,0,8,0,0,1,2,1,0,3,6,False,False,False,False,False,False,False,46,2783,s,p
63342.0,0,1,48,918,21,118,13,10,21,3,8,3,5,6,False,True,False,False,False,False,False,59,2780,t,p
45989.0,0,1,97,138,33,87,28,24,12,4,3,2,7,3,False,False,False,False,False,False,False,56,2774,s,g
18701.0,1,1,95,12,4,2,10,6,10,4,2,0,4,5,False,False,False,False,False,False,False,56,2549,s,g
